Geneid	Brain	Duodenum	Hatchling_Brain	Hatchling_Carapace	Hatchling_Kidney	Kidney	Liver	Lung	merged	Sciatic_Nerve	Skeletal_Muscle	Spinal_Cord	Testis
G1	0	0	0	0	0	0	2	0	8	0	1	0	5
G2	15	13	17	21	3	19	40	31	231	0	19	12	41
G3	0	0	0	0	0	0	0	0	0	0	0	0	0
G4	0	0	0	0	0	2	0	3	13	0	0	3	5
G5	0	0	0	0	0	0	0	0	0	0	0	0	0
G6	0	0	0	0	0	0	0	0	0	0	0	0	0
G7	4	0	7	10	1	8	6	8	59	0	7	6	2
G8	8	0	1	1	0	8	4	3	30	0	1	4	0
G9	1	0	0	0	0	0	0	0	1	0	0	0	0
G10	3	1	2	18	0	1	1	2	35	0	0	1	6
G11	0	0	0	0	0	0	0	0	0	0	0	0	0
G12	7	2	17	1	1	8	14	3	63	0	1	4	5
G13	0	0	3	2	0	1	0	1	9	0	1	1	0
G14	0	0	0	0	0	0	0	0	2	0	0	0	2
G15	0	0	1	0	0	0	0	0	1	0	0	0	0
G16	0	0	1	3	0	0	0	0	4	0	0	0	0
G17	3	0	0	1	0	5	2	1	16	0	2	1	1
G18	0	0	1	1	0	0	1	0	7	0	0	1	3
G19	0	0	0	0	0	0	0	0	0	0	0	0	0
G20	0	0	0	20	0	0	5	0	27	0	0	1	1
G21	0	0	0	0	0	17	0	0	26	0	0	0	9
G22	0	0	0	0	0	0	0	0	0	0	0	0	0
G23	2	0	0	0	0	1	1	2	25	0	0	19	0
G24	0	0	0	0	0	0	0	0	0	0	0	0	0
G25	0	0	0	0	0	0	0	0	0	0	0	0	0
G26	0	0	0	0	0	0	0	0	0	0	0	0	0
G27	0	0	0	0	0	3	1	1	5	0	0	0	0
G28	2	0	0	0	0	4	3	1	20	0	0	1	9
G29	0	0	0	0	0	0	0	0	0	0	0	0	0
G30	0	4	0	0	0	0	2	3	9	0	0	0	0
G31	0	0	0	0	0	0	1	0	1	0	0	0	0
G32	0	0	0	0	0	0	0	0	0	0	0	0	0
G33	0	0	0	1	0	0	0	1	2	0	0	0	0
G34	0	0	0	0	0	0	0	0	0	0	0	0	0
G35	0	0	0	0	0	0	0	0	0	0	0	0	0
G36	12	8	0	4	0	47	25	37	167	2	9	7	16
G37	0	0	0	0	0	0	0	0	0	0	0	0	0
G38	0	0	0	0	0	0	0	0	0	0	0	0	0
G39	0	0	0	0	0	0	0	0	1	0	0	0	1
G40	0	0	1	0	0	0	0	77	78	0	0	0	0
G41	0	0	0	0	0	0	0	0	0	0	0	0	0
G42	0	0	0	0	0	0	0	0	0	0	0	0	0
G43	0	0	0	2	0	4	5	1	14	0	1	1	0
G44	0	0	2	2	0	1	0	0	6	0	0	1	0
G45	0	0	0	25	0	0	0	0	26	0	0	0	1
G46	0	0	0	0	0	0	0	0	0	0	0	0	0
G47	0	0	0	0	0	0	0	0	0	0	0	0	0
G48	0	0	0	0	0	0	0	0	0	0	0	0	0
G49	0	0	0	0	0	0	0	0	0	0	0	0	0
G50	0	0	0	0	0	0	0	0	0	0	0	0	0
G51	0	0	0	0	0	3	0	0	3	0	0	0	0
G52	0	0	0	4	1	2	0	0	10	0	3	0	0
G53	1	0	5	0	0	0	0	0	7	0	0	1	0
G54	5	0	1	1	0	1	1	0	16	0	0	6	1
G55	6	0	11	2	0	2	0	0	24	0	0	1	2
G56	0	0	0	0	0	0	0	0	0	0	0	0	0
G57	0	0	0	0	0	0	0	0	1	0	0	0	1
G58	50	13	18	57	0	12	9	17	208	0	11	16	5
G59	24	4	21	17	1	23	17	15	206	0	23	29	32
G60	0	0	0	0	0	0	3	0	3	0	0	0	0
G61	4	1	14	11	0	6	7	2	62	0	2	12	3
G62	7	4	10	5	0	5	7	6	76	0	11	15	6
G63	4	0	0	16	0	0	1	1	25	0	1	1	1
G64	0	0	0	0	0	5	0	0	5	0	0	0	0
G65	1	0	0	0	0	0	0	0	1	0	0	0	0
G66	0	0	0	1	0	63	0	0	66	0	1	0	1
G67	0	0	1	0	0	0	4	0	6	0	1	0	0
G68	8	1	12	43	0	2	14	2	115	0	0	8	25
G69	34	0	15	65	1	38	22	14	256	0	3	35	29
G70	0	0	0	0	0	0	0	0	0	0	0	0	0
G71	4	0	1	1	0	7	9	2	25	0	0	1	0
G72	0	1	0	0	0	5	0	0	6	0	0	0	0
G73	0	0	0	0	0	0	0	0	0	0	0	0	0
G74	0	0	0	0	0	0	0	0	0	0	0	0	0
G75	0	0	0	0	0	0	0	0	0	0	0	0	0
G76	0	0	0	0	0	0	0	0	0	0	0	0	0
G77	0	0	0	0	0	0	0	0	0	0	0	0	0
G78	0	0	0	0	0	0	0	0	0	0	0	0	0
